date,total ,
01-03-2010,22438,
01-04-2010,18511,
01-05-2010,19142,
01-06-2010,19063,
01-07-2010,18006,
01-08-2010,20386,
01-09-2010,20280,
01-10-2010,18894,
01-11-2010,15941,
01-12-2010,16851,
01-01-2011,18204,
01-02-2011,15564,
01-03-2011,17984,
01-04-2011,13979,
01-05-2011,12591,
01-06-2011,12408,
01-07-2011,12779,
01-08-2011,14233,
01-09-2011,13410,
01-10-2011,12893,
01-11-2011,11843,
01-12-2011,11321,
01-01-2012,13427,
01-02-2012,14447,
01-03-2012,14717,
01-04-2012,11998,
01-05-2012,13379,
01-06-2012,12463,
01-07-2012,13276,
01-08-2012,14442,
01-09-2012,13422,
01-10-2012,13795,
01-11-2012,13352,
01-12-2012,,
